	abbreviation	name	equation	rule	Genes	Proteins	subsystem	reversible	lowbnd	uppbnd	obj_coef	Confidence.Score	EC.Number	Notes	References
1759	r_2305	cis-aconitate(3-) to isocitrate	s_0516 + s_0803  <=> s_0940	YLR304C	YLR304C	NA	NA	1	-1000	1000	0	NA		NA	
1760	r_2308	glycerol-3-phosphate acyltransferase (16:0), ER membrane	s_2789 + s_2934  <=> s_2785 + s_2935	(YBL011W OR YKR067W)	YBL011W YKR067W	NA	NA	1	0	1000	0	NA		NA	
1761	r_2309	glycerol-3-phosphate acyltransferase (16:1), ER membrane	s_2819 + s_2934  <=> s_2785 + s_2936	(YBL011W OR YKR067W)	YBL011W YKR067W	NA	NA	1	0	1000	0	NA		NA	
1762	r_2310	glycerol-3-phosphate acyltransferase (18:0), ER membrane	s_2791 + s_2934  <=> s_2785 + s_2937	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1763	r_2311	glycerol-3-phosphate acyltransferase (18:1), ER membrane	s_2821 + s_2934  <=> s_2785 + s_2938	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1764	r_2312	dihydroxyacetone phosphate acyltransferase (16:0), ER membrane	s_2789 + s_2939  <=> s_2785 + s_2940	(YBL011W OR YKR067W)	YBL011W YKR067W	NA	NA	1	0	1000	0	NA		NA	
1765	r_2313	dihydroxyacetone phosphate acyltransferase (16:1), ER membrane	s_2819 + s_2939  <=> s_2785 + s_2941	(YBL011W OR YKR067W)	YBL011W YKR067W	NA	NA	1	0	1000	0	NA		NA	
1766	r_2314	dihydroxyacetone phosphate acyltransferase (18:0), ER membrane	s_2791 + s_2939  <=> s_2785 + s_2942	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1767	r_2315	dihydroxyacetone phosphate acyltransferase (18:1), ER membrane	s_2821 + s_2939  <=> s_2785 + s_2943	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1768	r_2316	glycerol-3-phosphate acyltransferase (16:0), lipid particle	s_0769 + s_2847  <=> s_0531 + s_2944	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1769	r_2317	glycerol-3-phosphate acyltransferase (16:1), lipid particle	s_0769 + s_2849  <=> s_0531 + s_2945	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1770	r_2318	glycerol-3-phosphate acyltransferase (18:0), lipid particle	s_0769 + s_2851  <=> s_0531 + s_2946	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1771	r_2319	glycerol-3-phosphate acyltransferase (18:1), lipid particle	s_0769 + s_2853  <=> s_0531 + s_2947	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1772	r_2320	dihydroxyacetone phosphate acyltransferase (16:0), lipid particle	s_0631 + s_2847  <=> s_0531 + s_2948	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1773	r_2321	dihydroxyacetone phosphate acyltransferase (16:1), lipid particle	s_0631 + s_2849  <=> s_0531 + s_2949	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1774	r_2322	dihydroxyacetone phosphate acyltransferase (18:0), lipid particle	s_0631 + s_2851  <=> s_0531 + s_2950	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1775	r_2323	dihydroxyacetone phosphate acyltransferase (18:1), lipid particle	s_0631 + s_2853  <=> s_0531 + s_2951	YKR067W	YKR067W	NA	NA	1	0	1000	0	NA		NA	
1776	r_2324	acyl dhap reductase (16:0), ER membrane	s_2783 + s_2799 + s_2940  <=> s_2800 + s_2935	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1777	r_2325	acyl dhap reductase (16:1), ER membrane	s_2783 + s_2799 + s_2941  <=> s_2800 + s_2936	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1778	r_2326	acyl dhap reductase (18:0), ER membrane	s_2783 + s_2799 + s_2942  <=> s_2800 + s_2937	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1779	r_2327	acyl dhap reductase (18:1), ER membrane	s_2783 + s_2799 + s_2943  <=> s_2800 + s_2938	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1780	r_2328	acyl dhap reductase (16:0), lipid particle	s_0798 + s_2948 + s_2952  <=> s_2944 + s_2953	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1781	r_2329	acyl dhap reductase (16:1), lipid particle	s_0798 + s_2949 + s_2952  <=> s_2945 + s_2953	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1782	r_2330	acyl dhap reductase (18:0), lipid particle	s_0798 + s_2950 + s_2952  <=> s_2946 + s_2953	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1783	r_2331	acyl dhap reductase (18:1), lipid particle	s_0798 + s_2951 + s_2952  <=> s_2947 + s_2953	YIL124W	YIL124W	NA	NA	1	0	1000	0	NA		NA	
1784	r_2332	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-16:1), ER membrane	s_2819 + s_2935  <=> s_2785 + s_2954	YOR175C	YOR175C	NA	NA	1	0	1000	0	NA		NA	
1785	r_2333	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-18:1), ER membrane	s_2821 + s_2935  <=> s_2785 + s_2955	(YDL052C OR YOR175C)	YDL052C YOR175C	NA	NA	1	0	1000	0	NA		NA	
1786	r_2334	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-16:1), ER membrane	s_2819 + s_2936  <=> s_2785 + s_2956	YOR175C	YOR175C	NA	NA	1	0	1000	0	NA		NA	
1787	r_2335	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-18:1), ER membrane	s_2821 + s_2936  <=> s_2785 + s_2957	(YDL052C OR YOR175C)	YDL052C YOR175C	NA	NA	1	0	1000	0	NA		NA	
1788	r_2336	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:0, 2-16:1), ER membrane	s_2819 + s_2937  <=> s_2785 + s_2958	YOR175C	YOR175C	NA	NA	1	0	1000	0	NA		NA	
1789	r_2337	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:0, 2-18:1), ER membrane	s_2821 + s_2937  <=> s_2785 + s_2959	(YDL052C OR YOR175C)	YDL052C YOR175C	NA	NA	1	0	1000	0	NA		NA	
1790	r_2338	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:1, 2-16:1), ER membrane	s_2819 + s_2938  <=> s_2785 + s_2960	YOR175C	YOR175C	NA	NA	1	0	1000	0	NA		NA	
1791	r_2339	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:1, 2-18:1), ER membrane	s_2821 + s_2938  <=> s_2785 + s_2961	(YDL052C OR YOR175C)	YDL052C YOR175C	NA	NA	1	0	1000	0	NA		NA	
1792	r_2340	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-18:1), lipid particle	s_2853 + s_2944  <=> s_0531 + s_2962	(YDL052C OR YKR089C OR YOR081C)	YDL052C YKR089C YOR081C	NA	NA	1	0	1000	0	NA		NA	
1793	r_2341	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-18:1), lipid particle	s_2853 + s_2945  <=> s_0531 + s_2963	(YDL052C OR YKR089C OR YOR081C)	YDL052C YKR089C YOR081C	NA	NA	1	0	1000	0	NA		NA	
1794	r_2342	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:0, 2-18:1), lipid particle	s_2853 + s_2946  <=> s_0531 + s_2964	(YDL052C OR YKR089C OR YOR081C)	YDL052C YKR089C YOR081C	NA	NA	1	0	1000	0	NA		NA	
1795	r_2343	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:1, 2-18:1), lipid particle	s_2853 + s_2947  <=> s_0531 + s_2965	(YDL052C OR YKR089C OR YOR081C)	YDL052C YKR089C YOR081C	NA	NA	1	0	1000	0	NA		NA	
1796	r_2344	PA phosphatase (1-16:0, 2-16:1), ER membrane	s_2808 + s_2954  <=> s_2966 + s_2967	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1797	r_2345	PA phosphatase (1-16:0, 2-18:1), ER membrane	s_2808 + s_2955  <=> s_2966 + s_2968	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1798	r_2346	PA phosphatase (1-16:1, 2-16:1), ER membrane	s_2808 + s_2956  <=> s_2966 + s_2969	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1799	r_2347	PA phosphatase (1-16:1, 2-18:1), ER membrane	s_2808 + s_2957  <=> s_2966 + s_2970	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1800	r_2348	PA phosphatase (1-18:0, 2-16:1), ER membrane	s_2808 + s_2958  <=> s_2966 + s_2971	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1801	r_2349	PA phosphatase (1-18:0, 2-18:1), ER membrane	s_2808 + s_2959  <=> s_2966 + s_2972	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1802	r_2350	PA phosphatase (1-18:1, 2-16:1), ER membrane	s_2808 + s_2960  <=> s_2966 + s_2973	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1803	r_2351	PA phosphatase (1-18:1, 2-18:1), ER membrane	s_2808 + s_2961  <=> s_2966 + s_2974	YMR165C	YMR165C	NA	NA	1	0	1000	0	NA		NA	
1804	r_2352	PA phosphatase (1-16:0, 2-16:1), vacuolar membrane	s_2975 + s_2976  <=> s_2977 + s_2978	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1805	r_2353	PA phosphatase (1-16:0, 2-18:1), vacuolar membrane	s_2976 + s_2979  <=> s_2977 + s_2980	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1806	r_2354	PA phosphatase (1-16:1, 2-16:1), vacuolar membrane	s_2976 + s_2981  <=> s_2977 + s_2982	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1807	r_2355	PA phosphatase (1-16:1, 2-18:1), vacuolar membrane	s_2976 + s_2983  <=> s_2977 + s_2984	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1808	r_2356	PA phosphatase (1-18:0, 2-16:1), vacuolar membrane	s_2976 + s_2985  <=> s_2977 + s_2986	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1809	r_2357	PA phosphatase (1-18:0, 2-18:1), vacuolar membrane	s_2976 + s_2987  <=> s_2977 + s_2988	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1810	r_2358	PA phosphatase (1-18:1, 2-16:1), vacuolar membrane	s_2976 + s_2989  <=> s_2977 + s_2990	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1811	r_2359	PA phosphatase (1-18:1, 2-18:1), vacuolar membrane	s_2976 + s_2991  <=> s_2977 + s_2992	YDR284C	YDR284C	NA	NA	1	0	1000	0	NA		NA	
1812	r_2360	PA phosphatase (1-16:0, 2-16:1), Golgi membrane	s_2993 + s_2994  <=> s_2995 + s_2996	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1813	r_2361	PA phosphatase (1-16:0, 2-18:1), Golgi membrane	s_2994 + s_2997  <=> s_2995 + s_2998	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1814	r_2362	PA phosphatase (1-16:1, 2-16:1), Golgi membrane	s_2994 + s_2999  <=> s_2995 + s_3000	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1815	r_2363	PA phosphatase (1-16:1, 2-18:1), Golgi membrane	s_2994 + s_3001  <=> s_2995 + s_3002	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1816	r_2364	PA phosphatase (1-18:0, 2-16:1), Golgi membrane	s_2994 + s_3003  <=> s_2995 + s_3004	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1817	r_2365	PA phosphatase (1-18:0, 2-18:1), Golgi membrane	s_2994 + s_3005  <=> s_2995 + s_3006	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1818	r_2366	PA phosphatase (1-18:1, 2-16:1), Golgi membrane	s_2994 + s_3007  <=> s_2995 + s_3008	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1819	r_2367	PA phosphatase (1-18:1, 2-18:1), Golgi membrane	s_2994 + s_3009  <=> s_2995 + s_3010	YDR503C	YDR503C	NA	NA	1	0	1000	0	NA		NA	
1820	r_2368	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:0), ER membrane	s_2789 + s_2967  <=> s_2785 + s_3011	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1821	r_2369	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:0), ER membrane	s_2789 + s_2968  <=> s_2785 + s_3012	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1822	r_2370	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:0), ER membrane	s_2789 + s_2969  <=> s_2785 + s_3013	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1823	r_2371	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:0), ER membrane	s_2789 + s_2970  <=> s_2785 + s_3014	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1824	r_2372	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:0), ER membrane	s_2789 + s_2971  <=> s_2785 + s_3015	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1825	r_2373	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:0), ER membrane	s_2789 + s_2972  <=> s_2785 + s_3016	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1826	r_2374	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:0), ER membrane	s_2789 + s_2973  <=> s_2785 + s_3017	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1827	r_2375	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:0), ER membrane	s_2789 + s_2974  <=> s_2785 + s_3018	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1828	r_2376	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:1), ER membrane	s_2819 + s_2967  <=> s_2785 + s_3019	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1829	r_2377	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:1), ER membrane	s_2819 + s_2968  <=> s_2785 + s_3020	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1830	r_2378	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:1), ER membrane	s_2819 + s_2969  <=> s_2785 + s_3021	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1831	r_2379	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:1), ER membrane	s_2819 + s_2970  <=> s_2785 + s_3022	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1832	r_2380	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:1), ER membrane	s_2819 + s_2971  <=> s_2785 + s_3023	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1833	r_2381	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:1), ER membrane	s_2819 + s_2972  <=> s_2785 + s_3024	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1834	r_2382	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:1), ER membrane	s_2819 + s_2973  <=> s_2785 + s_3025	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1835	r_2383	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:1), ER membrane	s_2819 + s_2974  <=> s_2785 + s_3026	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1836	r_2384	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:0), ER membrane	s_2791 + s_2967  <=> s_2785 + s_3027	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1837	r_2385	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:0), ER membrane	s_2791 + s_2968  <=> s_2785 + s_3028	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1838	r_2386	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:0), ER membrane	s_2791 + s_2969  <=> s_2785 + s_3029	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1839	r_2387	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:0), ER membrane	s_2791 + s_2970  <=> s_2785 + s_3030	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1840	r_2388	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:0), ER membrane	s_2791 + s_2971  <=> s_2785 + s_3031	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1841	r_2389	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:0), ER membrane	s_2791 + s_2972  <=> s_2785 + s_3032	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1842	r_2390	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:0), ER membrane	s_2791 + s_2973  <=> s_2785 + s_3033	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1843	r_2391	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:0), ER membrane	s_2791 + s_2974  <=> s_2785 + s_3034	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1844	r_2392	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:1), ER membrane	s_2821 + s_2967  <=> s_2785 + s_3035	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1845	r_2393	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:1), ER membrane	s_2821 + s_2968  <=> s_2785 + s_3036	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1846	r_2394	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:1), ER membrane	s_2821 + s_2969  <=> s_2785 + s_3037	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1847	r_2395	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:1), ER membrane	s_2821 + s_2970  <=> s_2785 + s_3038	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1848	r_2396	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:1), ER membrane	s_2821 + s_2971  <=> s_2785 + s_3039	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1849	r_2397	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:1), ER membrane	s_2821 + s_2972  <=> s_2785 + s_3040	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1850	r_2398	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:1), ER membrane	s_2821 + s_2973  <=> s_2785 + s_3041	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1851	r_2399	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:1), ER membrane	s_2821 + s_2974  <=> s_2785 + s_3042	(YOR245C OR YCR048W OR YNR019W)	YCR048W YNR019W YOR245C	NA	NA	1	0	1000	0	NA		NA	
1852	r_2400	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:0), lipid particle	s_2847 + s_3043  <=> s_0531 + s_3044	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1853	r_2401	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:0), lipid particle	s_2847 + s_3045  <=> s_0531 + s_3046	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1854	r_2402	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:0), lipid particle	s_2847 + s_3047  <=> s_0531 + s_3048	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1855	r_2403	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:0), lipid particle	s_2847 + s_3049  <=> s_0531 + s_3050	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1856	r_2404	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:0), lipid particle	s_2847 + s_3051  <=> s_0531 + s_3052	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1857	r_2405	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:0), lipid particle	s_2847 + s_3053  <=> s_0531 + s_3054	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1858	r_2406	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:0), lipid particle	s_2847 + s_3055  <=> s_0531 + s_3056	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1859	r_2407	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:0), lipid particle	s_2847 + s_3057  <=> s_0531 + s_3058	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1860	r_2408	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:1), lipid particle	s_2849 + s_3043  <=> s_0531 + s_3059	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1861	r_2409	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:1), lipid particle	s_2849 + s_3045  <=> s_0531 + s_3060	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1862	r_2410	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:1), lipid particle	s_2849 + s_3047  <=> s_0531 + s_3061	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1863	r_2411	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:1), lipid particle	s_2849 + s_3049  <=> s_0531 + s_3062	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1864	r_2412	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:1), lipid particle	s_2849 + s_3051  <=> s_0531 + s_3063	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1865	r_2413	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:1), lipid particle	s_2849 + s_3053  <=> s_0531 + s_3064	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1866	r_2414	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:1), lipid particle	s_2849 + s_3055  <=> s_0531 + s_3065	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1867	r_2415	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:1), lipid particle	s_2849 + s_3057  <=> s_0531 + s_3066	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1868	r_2416	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:0), lipid particle	s_2851 + s_3043  <=> s_0531 + s_3067	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1869	r_2417	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:0), lipid particle	s_2851 + s_3045  <=> s_0531 + s_3068	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1870	r_2418	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:0), lipid particle	s_2851 + s_3047  <=> s_0531 + s_3069	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1871	r_2419	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:0), lipid particle	s_2851 + s_3049  <=> s_0531 + s_3070	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1872	r_2420	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:0), lipid particle	s_2851 + s_3051  <=> s_0531 + s_3071	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1873	r_2421	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:0), lipid particle	s_2851 + s_3053  <=> s_0531 + s_3072	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1874	r_2422	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:0), lipid particle	s_2851 + s_3055  <=> s_0531 + s_3073	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1875	r_2423	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:0), lipid particle	s_2851 + s_3057  <=> s_0531 + s_3074	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1876	r_2424	diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:1), lipid particle	s_2853 + s_3043  <=> s_0531 + s_3075	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1877	r_2425	diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:1), lipid particle	s_2853 + s_3045  <=> s_0531 + s_3076	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1878	r_2426	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:1), lipid particle	s_2853 + s_3047  <=> s_0531 + s_3077	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1879	r_2427	diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:1), lipid particle	s_2853 + s_3049  <=> s_0531 + s_3078	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1880	r_2428	diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:1), lipid particle	s_2853 + s_3051  <=> s_0531 + s_3079	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1881	r_2429	diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:1), lipid particle	s_2853 + s_3053  <=> s_0531 + s_3080	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1882	r_2430	diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:1), lipid particle	s_2853 + s_3055  <=> s_0531 + s_3081	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
1883	r_2431	diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:1), lipid particle	s_2853 + s_3057  <=> s_0531 + s_3082	YOR245C	YOR245C	NA	NA	1	0	1000	0	NA		NA	
